State,County,NSN,Item Name,Quantity,UI,Acquisition Cost,Ship Date
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,11/14/2009
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,11/14/2009
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,11/14/2009
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,11/14/2009
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,11/14/2009
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,11/30/2009
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,11/30/2009
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,11/30/2009
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,11/30/2009
NC,BEAUFORT                 ,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,04/06/2007
NC,BEAUFORT                 ,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,04/06/2007
NC,BEAUFORT                 ,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,06/13/2007
NC,BEAUFORT                 ,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,06/13/2007
NC,BEAUFORT                 ,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,08/01/2008
NC,BEAUFORT                 ,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,08/01/2008
NC,BEAUFORT                 ,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,11/30/2009
NC,BEAUFORT                 ,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,11/30/2009
NC,BEAUFORT                 ,1005-01-073-2368,"SHOTGUN,12 GAGE",1,Each,150,10/25/2010
NC,BEAUFORT                 ,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,12/31/2013
