full_name,count,sum
Grinding Machines,54,76458.95
Ground Effect Vehicles,18,118522.71
Guided Missile Handling and Servicing Equipment,3,334628.0
"Guided Missile Maintenance, Repair, and Checkout Specialized Equipment",14,8819.57
"Guns, 75 mm through 125 mm",3,209.29
"Guns, over 125 mm through 150 mm Includes Breech Mechanisms, Power Drives; Gun Shields.",1,2274.11
"Guns, over 30 mm up to 75 mm",220,154370.28
"Guns, through 30 mm",96062,27840181.92
"Hand Tools, Edged, Nonpowered",577,74711.57
"Hand Tools, Nonedged, Nonpowered",4643,1150421.61
"Hand Tools, Power Driven",1327,851919.93
Hardware,678,548409.66
"Hardware, Weapon System",48,8611.58
Harvesting Equipment,6,5350.0
Hazard-Detecting Instruments and Apparatus,290,2763673.92
Hazardous Material Spill Containment and Clean-up Equipment and Material,70,27558.62
"Headsets, Handsets, Microphones and Speakers",435,252160.41
Heat Exchangers and Steam Condensers,3,1197.0
"Helicopter Rotor Blades, Drive Mechanisms and Components",291,4116845.91
Home Type,2,0.0
Hose and Flexible Tubing,61,34856.07
"Hose, Pipe, Tube, Lubrication, and Railing Fittings",59,11587.32
"Hosiery, Handwear, and Clothing Accessories, Men's",373,3482.09
"Hosiery, Handwear, and Clothing Accessories, Women's",4,78.46
"Hospital Furniture, Equipment, Utensils, and Supplies",1286,1101153.02
Hospital and Surgical Clothing and Related Special Purpose Items,180,22196.86
Household Furnishings,897,138609.46
Household Furniture,750,196615.70
Household and Commercial Utility Containers,504,1257277.05
"Hydraulic and Pneumatic Presses, Power Driven",5,16607.37
"In Vitro Diagnostic Substances, Reagents, Test Kits and Sets",3,124.86
Individual Equipment,13787,2226371.11
Indoor and Outdoor Electric Lighting Fixtures,180,82224.61
Industrial Assembly Machines,1,258.9
Industrial Boilers,1,450.0
"Industrial Furnaces, Kilns, Lehrs, and Ovens",6,21260.0
Industrial Marking Machines,4,30540.12
Industrial Sewing Machines and Mobile Textile Repair Shops,47,82080.42
Inspection Gages and Precision Layout Tools,35,13702.11
"Intercommunication and Public Address Systems,  Except Airborne",77,452368.72
"Intercommunication and Public Address Systems, Airborne",5,14993.74
Kitchen Equipment and Appliances,227,328106.19
Kitchen Hand Tools and Utensils,117,28430.84
Knobs and Pointers,4,388.61
Laboratory Equipment and Supplies,90,593879.76
Land Mines,2,420.0
Lathes,18,476771.08
"Launchers, Guided Missile",3,932.85
Laundry and Dry Cleaning Equipment,156,302557.97
Leather,6,377.50
"Liquid and Gas Flow, Liquid Level, and Mechanical Motion Measuring Instruments",34,50236.62
Lubrication and Fuel Dispensing Equipment,139,446209.61
Luggage,395,29682.19
"Lugs, Terminals, and Terminal Strips",41,1614.30
Lumber and Related Basic Wood Materials,24,1560.13
"Machine Shop Sets, Kits, and Outfits",2,2599.98
Machine Tool Accessories,49,4075.78
"Machine Tools, Portable",11,36811.0
Machining Centers and Way-Type Machines,1,857.0
Manual Presses,14,40500.03
Marine Hardware and Hull Items,58,113618.00
Marine Lifesaving and Diving Equipment,393,332518.99
Materials Feeders,2,10000.0
"Materials Handling Equipment, Nonself- Propelled",336,405197.41
"Measuring Tools, Craftsmen's",126,32315.53
"Mechanical Presses, Power Driven",1,0.0
"Medical and Surgical Instruments, Equipment, and Supplies",2929,8453879.66
Medicated Cosmetics and Toiletries,4,273.78
Memorials; Cemeterial and Mortuary Equipment and Supplies,57,2447.62
Metal Screening,3,525.0
Meteorological Instruments and Apparatus,50,179644.44
"Microcircuits, Electronic",3,428.14
Milling Machines,14,286640.68
"Mineral Construction Materials, Bulk",1,0.0
"Minerals, Natural and Synthetic",1,9.58
Mini and Micro Computer Control Devices,6,0.0
"Mining, Rock Drilling, Earth Boring, and Related Equipment",44,478068.49
Miscellaneous Aircraft Accessories and Components,249,457070.77
"Miscellaneous Alarm, Signal, and Security Detection Systems",257,1015684.33
Miscellaneous Battery Retaining Fixtures and Liners,27,4258.74
Miscellaneous Chemical Specialties,34,8214.52
Miscellaneous Communication Equipment,346,1743176.42
Miscellaneous Construction Equipment,130,2635504.32
Miscellaneous Construction Materials,19,5130.41
Miscellaneous Electric Power and Distribution Equipment,248,74158.03
Miscellaneous Electrical and Electronic Components,39,66213.55
"Miscellaneous Engine Accessories, Aircraft",22,70100.49
"Miscellaneous Engine Accessories, Nonaircraft",44,17380.03
Miscellaneous Engines and Components,3,380.0
Miscellaneous Fabricated Nonmetallic Materials,101,12940.27
Miscellaneous Fire Control Equipment,11,4655.32
Miscellaneous Furniture and Fixtures,94,257107.97
Miscellaneous Household and Commercial Furnishings and Appliances,70,23477.23
Miscellaneous Items,28,1159558.94
Miscellaneous Machine Tools,14,73949.31
Miscellaneous Maintenance and Repair Shop Specialized Equipment,568,10804612.18
Miscellaneous Materials Handling Equipment.,269,569180.31
Miscellaneous Office Machines,153,152723.24
Miscellaneous Power Transmission Equipment,93,140941.10
Miscellaneous Prefabricated Structures,67,3506691.77
Miscellaneous Printed Matter,12,424.71
Miscellaneous Service and Trade Equipment,157,178535.48
Miscellaneous Ship and Marine Equipment,59,31306.77
Miscellaneous Special Industry Machinery,164,95212.35
Miscellaneous Vehicular Components,355,734215.72
Miscellaneous Vessels,10,433024.0
Miscellaneous Weapons,1427,278044.88
Miscellaneous Welding Equipment,20,16868.32
"Miscellaneous Welding, Soldering, and Brazing Supplies and Accessories",215,57697.44
Missing code added for DOD Migration purpose only,1,51.43
Motor Vehicle Maintenance and Repair Shop Specialized Equipment,865,9152481.21
"Motorcycles, Motor Scooters, and Bicycles",1114,4171396.44
"Motors, Electrical",11,9025.32
Munitions items-systems that are not held by the soldier but are deployed for future activation.,1,55000.0
Musical Instrument Parts and Accessories,69,70583.14
Musical Instruments,94,83939.54
"Nails, Machine Keys, and Pins",145,2959.15
Navigational Instruments,120,86641.40
"Night Vision Equipment, Emitted and Reflected Radiation",10842,67536293.48
Nonelectrical Lighting Fixtures,117,10327.73
Nonwood Construction Lumber and Related Materials,8,2997.11
Notions and Apparel Findings,65,931.13
Nuts and Washers,136,2545.27
Office Devices and Accessories,199,21717.82
Office Furniture,1432,1144064.67
Office Information System Equipment,33,50867.0
Office Supplies,376,33391.36
Office Type Sound Recording and Reproducing Machines,8,562.88
"Oils and Greases: Cutting, Lubricating, and Hydraulic",82,25756.20
Operation Training Devices,7,471159.63
"Ophthalmic Instruments, Equipment, and Supplies",33,28322.99
"Optical Instruments, Test Equipment, Components and Accessories",733,1827062.69
Optical Sighting and Ranging Equipment,12404,9262080.83
Optoelectronic Devices and Associated Hardware,12,87039.52
Other Cryptologic Equipment and Components,2,1200000.0
"Outerwear, Men's",1065,48732.71
"Outerwear, Women's",46,5554.95
Packaging and Packing Bulk Materials,46,3743.96
Packing and Gasket Materials,31,2037.27
Paint and Artists' Brushes,34,137.20
"Paints, Dopes, Varnishes, and Related Products",52,4000.12
Paper and Paperboard,8,3414.93
"Parachutes; Aerial Pick Up, Delivery, Recovery Systems; Cargo Tie Down Equipment",257,145610.62
Passenger Motor Vehicles,233,5448363.00
"Perfumes, Toilet Preparations, and Powders",1,1.65
Personal Toiletry Articles,9,816.31
Pest Control Agents and Disinfectants,29,880.46
"Pest, Disease, and Frost Control Equipment",168,83331.57
Petroleum Production and Distribution Equipment,2,401716.0
"Phonographs, Radios, and Television Sets: Home-Type",238,212631.51
Photographic Developing and Finishing Equipment,3,270.48
Photographic Equipment and Accessories,530,230627.51
Photographic Projection Equipment,386,802685.45
"Photographic Sets, Kits, and Outfits",26,74688.29
Photographic Supplies,19,4643.20
Physical Properties Testing and Inspection,35,505914.70
"Pipe and Conduit, Nonmetallic",9,1835.0
"Pipe, Tube and Rigid Tubing",85,23922.72
Planers and Shapers,2,4267.0
Plastics Fabricated Materials,50,6171.49
"Plate, Sheet, Strip, Foil, and Leaf",97,237596.81
"Plate, Sheet, Strip, and Foil: Nonferrous Base Metal",66,43194.11
Plumbing Fixtures and Accessories,84,1281059.95
Plywood and Veneer,17,535.42
Pontoons and Floating Docks,3,24380.0
Power and Hand Pumps,208,1240297.76
Prefabricated Tower Structures,6,269612.5
Prefabricated and Portable Buildings,108,3793496.29
Preservative and Sealing Compounds,8,1408.78
"Pressure, Temperature, and Humidity Measuring and Controlling Instruments",32,31442.79
"Printing, Duplicating, and Bookbinding Equipment",39,130434.16
"Production Jigs, Fixtures, and Templates",1,49.06
Pulp and Paper Industries Machinery,62,256852.90
Punching and Shearing Machines,17,218785.09
"Radar Equipment, Airborne",1,11967.0
"Radar Equipment, Except Airborne",93,1661200.88
"Radio Navigation Equipment, Airborne",29,73966.41
"Radio Navigation Equipment, Except Airborne",185,1412657.66
"Radio and Television Communication Equipment,  Except Airborne",1101,15358130.95
"Radio and Television Communication Equipment, Airborne",19,352373.94
Recreational and Gymnastic Equipment,2007,2512741.03
Recycling and Reclamation Equipment,18,138928.63
Reels and Spools,9,842.0
Refrigeration Equipment,699,1108138.27
Refrigeration and Air Conditioning Components,73,164371.42
Relays and Solenoids,12,59907.14
"Replenishable Field Medical Sets, Kits, and Outfits",1370,5646956.78
"Right-of-Way Construction and Maintenance Equipment,  Railroad",1,0.0
Rigid Wall Shelters,95,2187544.00
Riveting Machines,2,149.21
Rivets,185,18110.91
"Road Clearing, Cleaning, and Marking Equipment",149,9394225.89
Roofing and Siding Materials,3,317.64
Rubber Fabricated Materials,56,8650.47
"Saddlery, Harness, Whips, and Related Animal Furnishings.",23,58850.61
Safety and Rescue Equipment,2809,1003491.60
Sawmill and Planing Mill Machinery,5,15284.21
Saws and Filing Machines,50,231475.36
Scaffolding Equipment and Concrete Forms,164,110832.61
Scales and Balances,105,141318.73
Screws,124,2873.42
Seeds and Nursery Stock,1,10.0
Semiconductor Devices and Associated Hardware,3,1768.94
"Sets, Kits, Outfits and Modules Food Preparation and Serving",98,5362178.58
"Sets, Kits, and Outfits of Hand Tools",2684,6376989.54
"Sets, Kits, and Outfits of Measuring Tools",4,21581.15
Sewage Treatment Equipment,3,36600.0
Ship and Boat Propulsion Components,30,64256.95
Shipboard Alarm and Signals Systems,1,2414.0
Shoe Findings and Soling Materials,8,59.47
"Signs, Advertising Displays, and Identification Plates",191,207443.37
Small Craft,187,14826331.98
Smokers' Articles and Matches,8,120.71
Soil Preparation Equipment,5,14556.43
Solar Electric Power Systems,14,38893.59
Sound Recording and Reproducing Equipment,70,233254.17
Space and Water Heating Equipment,311,753906.19
Specialized Ammunition Handling and Servicing Equipment.,1,122180.0
Specialized Ammunition and Ordnance Machinery and Related Equipment,1,23700.0
Specialized Flight Clothing and Accessories,163,53816.75
Specialized Shipping and Storage Containers,1081,6420217.53
Stationery and Record Forms,125,13023.73
"Steam Engines, Reciprocating; and Components",1,1252.74
"Stimulated Coherent Radiation Devices, Components,  and Accessories",254,7038522.96
Storage Tanks,65,244770.02
Structural Shapes,34,2786.51
"Structural Shapes, Nonferrous Base Metal",51,4555.05
Studs,5,334.49
Surface Use Explosive Ordnance Disposal Tools and Equipment,489,16708659.59
Surgical Dressing Materials,904,47483.61
Switches,122,142051.13
Synchros and Resolvers,1,75.0
Tableware,181,9676.17
"Taps, Dies, and Collets; Hand and Machine",61,21248.73
Telephone and Telegraph Equipment,122,338159.11
Teletype and Facsimile Equipment,28,132487.60
Tents and Tarpaulins,1246,11445799.24
Textile Fabrics,65,8607.08
Textile Industries Machinery,2,0.0
"Tile, Brick, and Block",37,3367.62
Time Measuring Instruments,230,46596.73
Tire Rebuilding and Tire and Tube Repair Materials,26,9493.04
"Tires and Tubes, Pneumatic, Except Aircraft",433,195760.81
"Tires, Solid and Cushion",2,584.01
"Toilet Soap, Shaving Preparations, and Dentifrices",8,307.33
Toiletry Paper Products,46,1381.94
Tool and Hardware Boxes,891,300151.90
Tools and Attachments for Woodworking Machinery,43,13700.38
"Torpedo Maintenance, Repair, and Checkout  Specialized Equipment",1,62.37
Torque Converters and Speed Changers,5,3895.21
"Tractors, Full Tracked, High Speed",4,53547.23
"Tractors, Full Tracked, Low Speed",132,12688533.38
"Tractors, Wheeled",246,19442090.73
Traffic and Transit Signal Systems,32,32755.17
Trailers,1521,19675027.28
Training Aids,195,1538443.32
Transformers: Distribution and Power Station,12,12193.82
Truck and Tractor Attachments,99,739247.17
"Trucks and Truck Tractors, Wheeled",7773,392598884.79
Turbosuperchargers and components,4,4493.75
Typewriters and Office Type Composing  Machines,5,2464.29
Underwater Sound Equipment,10,158968.81
"Underwear and Nightwear, Men's",111,1589.63
"Underwear and Nightwear, Women's",11,83.65
"Valves, Nonpowered",17,5532.21
"Valves, Powered",6,25571.73
"Vehicular Brake, Steering, Axle, Wheel, and Track Components",440,597664.71
"Vehicular Cab, Body, and Frame Structural Components",1219,3453718.11
Vehicular Furniture and Accessories,1104,1398914.57
Vehicular Power Transmission Components,70,201862.39
Vending and Coin Operated Machines,7,28939.56
Video Recording and Reproducing Equipment,361,1193152.70
Visible Record Equipment,9,7902.53
Visible and Invisible Light Communication Equipment,18,92549.37
"Wallboard, Building Paper, and Thermal Insulation  Materials",38,2629.52
"Warehouse Truck and Tractors, Self-Propelled",602,19606746.67
Waste Disposal Equipment,15,91478.16
Water Purification Equipment,60,432923.97
