agency_name,state,agency_type
ESTILL COUNTY SHERIFF'S DEPT,KY,sheriff_dept
ETHRIDGE POLICE DEPT,TN,local_police
ETOWAH COUNTY SHERIFF DEPT,AL,sheriff_dept
EUDORA POLICE DEPARTMENT,KS,local_police
EUGENE POLICE DEPT,OR,local_police
EUSTACE POLICE DEPT,TX,local_police
EUSTIS POLICE DEPT,FL,local_police
EVANSVILLE POLICE DEPT,IN,local_police
EVARTS POLICE DEPT,KY,local_police
EXETER POLICE DEPT,CA,local_police
FAIRFAX POLICE DEPT,CA,local_police
FAIRFIELD CTY SHERIFF DEPT,OH,sheriff_dept
FAIRFIELD MED CTR POLICE DEPT,OH,
FAIRFIELD POLICE DEPT,AL,local_police
FAIRHOPE POLICE DEPT,AL,local_police
FAIRMONT POLICE DEPT,WV,local_police
FAIRMOUNT POLICE DEPT,GA,local_police
FAIRPLAY POLICE DEPT,CO,local_police
FALLON POLICE DEPT,NV,local_police
FALMOUTH POLICE DEPARTMENT,KY,local_police
FANNIN COUNTY SHERIFF DEPT,GA,sheriff_dept
FARMINGTON  POLICE DEPT,NM,local_police
FARMVILLE POLICE DEPT,NC,local_police
FAULKNER COUNTY SHERIFFS OFFICE,AR,sheriff_dept
FAYETTE COUNTY SHERIFF OFFICE,GA,sheriff_dept
FBI JACKSON DIV GULFPORT RES AGENCY,MS,fbi
FBI LAS VEGAS,NV,fbi
FBI SAN DIEGO,CA,fbi
FBI SAN FRANCISCO,CA,fbi
FEDERAL BUREAU OF INVESTIGATION,NJ,fbi
FEDERAL BUREAU OF INVESTIGATION,WA,fbi
FEDERAL BUREAU OF PRISONS,FL,prison
FENTRESS COUNTY SHERIFF DEPT,TN,sheriff_dept
FERNDALE POLICE DEPT,WA,local_police
FL HIGHWAY PATROL,FL,highway_patrol
FLAGLER COUNTY SHERIFF DEPT,FL,sheriff_dept
FLAGSTAFF POLICE DEPT,AZ,local_police
FLORA POLICE DEPARTMENT,IL,local_police
FLORENCE COUNTY SHERIFF DEPT,SC,sheriff_dept
FLORENCE POLICE DEPT,CO,local_police
FLORENCE POLICE DEPT,AL,local_police
FLORENCE POLICE DEPT,SC,local_police
FLORIDA INTERNATIONAL UNIVERSITY PD,FL,university_police
FLOYD COUNTY SHERIFF DEPT,TX,sheriff_dept
FOLEY POLICE DEPT,AL,local_police
FOLLY BEACH PUBLIC SAFETY,SC,public_safety
FONTANA POLICE DEPT,WI,local_police
FOREST COUNTY SHERIFF OFFICE,PA,sheriff_dept
FORSYTH COUNTY SHERIFF DEPT,GA,sheriff_dept
FORT FAIRFIELD POLICE DEPT,ME,local_police
FORT JENNINGS POLICE DEPT,OH,local_police
FORT LEE POLICE DEPT,NJ,local_police
FORT LUPTON POLICE DEPT,CO,local_police
FORT STOCKTON POLICE DEPT,TX,local_police
FORT VALLEY STATE UNIV POLICE,GA,university_police
FOSTER POLICE DEPT,RI,local_police
FOSTORIA POLICE DEPT,OH,local_police
FOWLER POLICE DEPT,CO,local_police
FRANKFORD POLICE DEPT,DE,local_police
FRANKFORT POLICE DEPT,IN,local_police
FRANKLIN COUNTY SHERIFF DEPT,NY,sheriff_dept
FRANKLIN COUNTY SHERIFF DEPT,GA,sheriff_dept
FRANKLIN COUNTY SHERIFF DEPT,ID,sheriff_dept
FRANKLIN COUNTY SHERIFF DEPT,TN,sheriff_dept
FRANKLIN COUNTY SHERIFF DEPT,ME,sheriff_dept
FRANKLIN COUNTY SHERIFF DEPT,AR,sheriff_dept
FRANKLIN COUNTY SHERIFF OFFICE,KY,sheriff_dept
FRANKLIN COUNTY SHERIFFS OFFICE,WA,sheriff_dept
FRANKLIN CTY SHERIFF DEPT,OH,sheriff_dept
FRANKLIN PARISH SHERIFF,LA,sheriff_dept
FRANKLIN POLICE DEPT,KY,local_police
FRANKLIN POLICE DEPT,NH,local_police
FRANKLIN POLICE DEPT,VA,local_police
FRANKLIN SPRINGS POLICE DEPT,GA,local_police
FREDERICK CO FIRE MARSHAL'S OFFICE,VA,fire
FREDERICK COUNTY SHERIFF DEPT,VA,sheriff_dept
FREESTONE COUNTY SHERIFF DEPT,TX,sheriff_dept
FREMONT COUNTY SHERIFF DEPT,ID,sheriff_dept
FRESNO COUNTY SHERIFF DEPT,CA,sheriff_dept
FULTON COUNTY SCHOOLS POLICE DEPT,GA,local_police
FULTON COUNTY SHERIFF DEPT,KY,sheriff_dept
FULTON COUNTY SHERIFF OFFICE,IL,sheriff_dept
FULTONDALE POLICE DEPT,AL,local_police
GA DEPT OF PUBLIC SAFETY,GA,public_safety
GA DNR SOCIAL CIRCLE,GA,
GAINESVILLE POLICE DEPT,FL,local_police
GAINSBORO POLICE DEPT,TN,local_police
GALENA POLICE DEPT,IL,local_police
GALLATIN POLICE DEPT,TN,local_police
GALLIA CTY SHERIFF DEPT,OH,sheriff_dept
GALLOWAY TOWNSHIP POLICE DEPT,NJ,local_police
GALVESTON POLICE DEPT,TX,local_police
GARDENA POLICE DEPT,CA,local_police
GARDENDALE POLICE DEPT,AL,local_police
GASTONIA CITY POLICE DEPT,NC,local_police
GEAUGA COUNTY  SHERIFF'S OFFICE,OH,sheriff_dept
GENEVA ON THE LAKE POLICE DEPT,OH,local_police
GENEVA POLICE DEPT,IN,local_police
GENOA TWP POLICE DEPT,OH,local_police
GEORGETOWN POLICE DEPT,DE,local_police
GEORGETOWN POLICE DEPT,SC,local_police
GEORGETOWN POLICE DEPT,TX,local_police
GEORGETOWN POLICE DEPT,KY,local_police
GEORGIA DEPARTMENT OF REVENUE,GA,department_of_revenue
GERALDINE POLICE DEPT,AL,local_police
GILA COUNTY SHERIFF'S OFFICE,AZ,sheriff_dept
GILA RIVER POLICE DEPT,AZ,local_police
GILBERT POLICE DEPT,AZ,local_police
GILFORD POLICE DEPT,NH,local_police
GILLETTE POLICE DEPT,WY,local_police
GILMER COUNTY FIRE RESCUE,GA,fire
GILMER COUNTY SHERIFF DEPT,GA,sheriff_dept
GLADE SPRING POLICE DEPT,VA,local_police
GLASGOW POLICE DEPT,MT,local_police
GLASGOW POLICE DEPT,KY,local_police
GLEN CANYON,AZ,
GLENCOE POLICE DEPT,IL,local_police
GLENCOE POLICE DEPT,AL,local_police
GLENDALE POLICE DEPT,CA,local_police
GLENDALE POLICE DEPT,AZ,local_police
GLOCESTER POLICE DEPT,RI,local_police
GLOUCESTER POLICE DEPT,MA,local_police
GNADENHUTTEN POLICE DEPT,OH,local_police
GORDO POLICE DEPT,AL,local_police
GORDON COUNTY SHERIFF DEPT,GA,sheriff_dept
GOREVILLE POLICE DEPT,IL,local_police
GRADY COUNTY SHERIFF DEPT,GA,sheriff_dept
GRADY CTY SHERIFF DEPT,OK,sheriff_dept
GRAFTON POLICE DEPT,ND,local_police
GRAINGER COUNTY SHERIFF DEPT,TN,sheriff_dept
GRAND ISLAND POLICE DEPT,NE,local_police
GRAND PRAIRIE POLICE DEPT,TX,local_police
GRAND VALLEY FIRE PROTECTION DIST,CO,fire
GRANDVIEW POLICE DEPARTMENT,TX,local_police
GRANDVIEW POLICE DEPT,WA,local_police
GRANGEVILLE POLICE DEPARTMENT,ID,local_police
GRANITE CITY POLICE DEPT,IL,local_police
GRANT COUNTY SHERIFF DEPT,ND,sheriff_dept
GRANTFORK POLICE DEPT,IL,local_police
GRANTVILLE POLICE DEPT,GA,local_police
GREAT FALLS INTL AIRPORT PD,MT,airport_police
GREAT LAKES INDIAN FISH & WILDLIFE,WI,fish_and_wildlife
GREATER HARDIN COUNTY NTF,KY,
GREELEY POLICE DEPT,CO,local_police
GREEN BAY POLICE DEPT,WI,local_police
GREEN COUNTY SHERIFF DEPT,KY,sheriff_dept
GREEN SPRINGS POLICE DEPT,OH,local_police
GREENBURGH TOWN POLICE DEPT,NY,local_police
GREENE COUNTY SHERIFF DEPT,TN,sheriff_dept
GREENE COUNTY SHERIFF DEPT,IN,sheriff_dept
GREENLEE COUNTY SHERIFF DEPT,AZ,sheriff_dept
GREENVIEW POLICE DEPT,IL,local_police
GREENVILE POLICE DEPT,KY,local_police
GREENVILLE COUNTY SHERIFF DEPT,SC,sheriff_dept
GREENVILLE POLICE DEPT,TX,local_police
GREENVILLE POLICE DEPT,AL,local_police
GREENWOOD LAKE POLICE DEPT,NY,local_police
GREENWOOD POLICE DEPT,DE,local_police
GREENWOOD VILLAGE POLICE DEPT,CO,local_police
GROTTOES POLICE DEPT,VA,local_police
GRUNDY POLICE DEPT,VA,local_police
GUAM DEPARTMENT OF CORRECTIONS,GU,prison
GUAM DEPT OF REVENUE AND TAX,GU,department_of_revenue
GUAM FIRE DEPT,GU,fire
GUAM POLICE DEPARTMENT,GU,local_police
GUAYNABO CITY POLICE,PR,local_police
GUILFORD POLICE DEPT,CT,local_police
GULF BREEZE POLICE DEPT,FL,local_police
GUN BARREL CITY POLICE DEPT,TX,local_police
GUNTERSVILLE POLICE DEPT,AL,local_police
GURDON POLICE DEPT,AR,local_police
GUY POLICE DEPT,AR,local_police
GWINNETT COUNTY SHERIFF OFFICE,GA,sheriff_dept
HAHIRA POLICE DEPT,GA,local_police
HALE COUNTY SHERIFF DEPT,TX,sheriff_dept
HALL COUNTY SHERIFF DEPT,TX,sheriff_dept
HALLSVILLE POLICE DEPT,TX,local_police
HAMBURG TOWN POLICE DEPT,NY,local_police
HAMPSTEAD POLICE DEPARTMENT,MD,local_police
HAMPTON POLICE DEPT,VA,local_police
HANCEVILLE POLICE DEPT,AL,local_police
HANCOCK CTY SHERIFF DEPT,OH,sheriff_dept
HARBOR BELT RAILROAD POLICE DEPART,IN,railroad_police
HARDIN COUNTY SHERIFF OFFICE,IL,sheriff_dept
HARDIN COUNTY SHERIFF'S OFFICE,OH,sheriff_dept
HARDINSBURG POLICE DEPT,KY,local_police
HARFORD COUNTY SHERIFF'S OFFICE,MD,sheriff_dept
HARLEM DEPT OF PUBLIC SAFETY,GA,public_safety
HARNETT COUNTY SHERIFF DEPT,NC,sheriff_dept
HARRIMAN POLICE DEPT,TN,local_police
HARRINGTON POLICE DEPT,DE,local_police
HARRIS COUNTY PCT 1 CONSTABLE,TX,local_police
HARRIS COUNTY SHERIFF DEPT,GA,sheriff_dept
HARRIS COUNTY SHERRIF DEPT,TX,sheriff_dept
HARRISBURG  BUREAU POLICE DEPT,PA,local_police
HARRISBURG POLICE DEPT,IL,local_police
HARRISON POLICE DEPT,NY,local_police
HARRISON TOWNSHIP POLICE DEPT,NJ,local_police
HARRISONBURG POLICE DEPT,VA,local_police
HART COUNTY SHERIFF DEPT,GA,sheriff_dept
HARTFORD POLICE DEPT,VT,local_police
HARTSVILLE POLICE DEPT,SC,local_police
HAWESVILLE POLICE DEPT,KY,local_police
HAWKINS COUNTY SHERIFF DEPT,TN,sheriff_dept
HAWTHORNE POLICE DEPT,CA,local_police
HAYS COUNTY CONSTABLE PCT 4,TX,local_police
HAYS COUNTY SHERIFF OFFICE,TX,sheriff_dept
HAYSI POLICE DEPT,VA,local_police
HAZARD POLICE DEPT,KY,local_police
HAZLET TOWNSHIP POLICE DEPT,NJ,local_police
HEBRON POLICE DEPT,IN,local_police
HEFLIN POLICE DEPT,AL,local_police
HELENA POLICE DEPT,AL,local_police
HENDERSON COUNTY SHERIFF DEPT,KY,sheriff_dept
HENDERSONVILLE POLICE DEPT,TN,local_police
HENDRY COUNTY SHERIFF OFFICE,FL,sheriff_dept
HENRY COUNTY SHERIFF DEPT,AL,sheriff_dept
HENRY COUNTY SHERIFF DEPT,TN,sheriff_dept
HENRY COUNTY SHERIFF DEPT,IN,sheriff_dept
HENRY COUNTY SHERIFF DEPT,VA,sheriff_dept
HENRY POLICE DEPT,TN,local_police
HEPHZIBAH POLICE DEPT,GA,local_police
HERKIMER POLICE DEPT,NY,local_police
HERNANDO COUNTY SHERIFF OFFICE,FL,sheriff_dept
HIDALGO COUNTY CONSTABLE PRECINCT 1,TX,local_police
HIDALGO COUNTY SHERIFF OFFICE,TX,sheriff_dept
HIGGINSON POLICE DEPARTMENT,AR,local_police
HIGH DESERT STATE PRISON,CA,prison
HIGHLAND LAKE POLICE DEPT,AL,local_police
HIGHSPIRE BOROUGH POLICE DEPT,PA,local_police
HILLSBORO POLICE DEPT,TX,local_police
HILLSBORO POLICE DEPT,WI,local_police
HOCKING COLLEGE POLICE DEPT,OH,local_police
HOCKING CTY SHERIFF DEPT,OH,sheriff_dept
HOKES BLUFF POLICE DEPT,AL,local_police
HOLBROOK POLICE DEPT,AZ,local_police
HOLMES COUNTY SHERIFF DEPT,FL,sheriff_dept
HOMELAND SEC INVESTIGATIONS,TN,dhs
HOMELAND SECURITY & EMER MGMT HSEMA,DC,dhs
HOMELAND SECURITY INVESTIGATIONS,VA,dhs
HOMERVILLE POLICE DEPT,GA,local_police
HOMEWOOD POLICE DEPT,AL,local_police
HONDO POLICE DEPT,TX,local_police
HONEY GROVE POLICE DEPT,TX,local_police
HOOD COUNTY SHERIFF DEPT,TX,sheriff_dept
HOOVER POLICE DEPT,AL,local_police
HOPE MILLS POLICE DEPT,NC,local_police
HOPKINSVILLE POLICE DEPT,KY,local_police
HOPKINTON POLICE DEPT,RI,local_police
HOPLAND TRIBAL POLICE DEPT,CA,local_police
HORRY COUNTY POLICE DEPT,SC,local_police
HOUSTON COUNTY SHERIFF DEPT,GA,sheriff_dept
HOUSTON COUNTY SHERIFF OFFICE,TN,sheriff_dept
HOUSTON POLICE DEPT,TX,local_police
HUACHUCA CITY POLICE DEPT,AZ,local_police
HUBBARD POLICE DEPT,OH,local_police
HUDSON POLICE DEPT,IN,local_police
HUERFANO COUNTY SHERIFF DEPT,CO,sheriff_dept
HUEYTOWN POLICE DEPT,AL,local_police
HUMACAO POLICE DEPT,PR,local_police
HUMBOLDT POLICE DEPT,TN,local_police
HUMPHREYS COUNTY SHERIFF DEPT,TN,sheriff_dept
HUNTINGDON POLICE DEPARTMENT,TN,local_police
HUNTINGTON COUNTY SHERIFF DEPT,IN,sheriff_dept
HURON CTY SHERIFF DEPT,OH,sheriff_dept
HUTTO POLICE DEPARTMENT,TX,local_police
HYATTSVILLE POLICE DEPT,MD,local_police
IDAHO COUNTY SHERIFF DEPT,ID,sheriff_dept
IL DEPT OF CENTRAL MANAGEMENT,IL,
IL MULTI-COUNTY NARCOTIC GROUP,IL,
IMMIGRATION AND CUSTOMS ENFORCEMENT,CO,ice
IN DEPT OF CORRECTIONS,IN,prison
IN STATE POLICE,IN,state_police
INA POLICE DEPT,IL,local_police
INDEPENDENCE POLICE DEPT,OR,local_police
INDEPENDENCE POLICE DEPT,WI,local_police
INDIAN RIVER COUNTY SHERIFF DEPT,FL,sheriff_dept
INDIANAPOLIS METRO POLICE DEPT,IN,local_police
INEZ CITY POLICE,KY,local_police
IPSWICH POLICE DEPT,MA,local_police
IRONDALE POLICE DEPT,AL,local_police
IRVINE VALLEY COLLEGE POLICE DEPT,CA,local_police
ISABELA POLICE DEPT,PR,local_police
ISLETA PUEBLO TRIBAL POLICE DEPT,NM,local_police
ISLETA TRIBAL POLICE DEPT,NM,local_police
ISSAQUAH POLICE DEPT,WA,local_police
JACKSON  POLICE DEPARTMENT,KY,local_police
JACKSON COUNTY SHERIFF DEPT,TN,sheriff_dept
JACKSON COUNTY SHERIFF DEPT,WI,sheriff_dept
JACKSON COUNTY SHERIFF'S DEPARTMENT,AR,sheriff_dept
JACKSON POLICE DEPT,AL,local_police
JACKSON TWP POLICE DEPT,NJ,local_police
JACKSONVILLE HIGHWAY PATROL,AL,highway_patrol
JAMAICA BEACH POLICE DEPT,TX,local_police
JAMESTOWN POLICE DEPT,TN,local_police
JASPER COUNTY SHERIFF DEPT,TX,sheriff_dept
JASPER COUNTY SHERIFF DEPT,IA,sheriff_dept
JASPER COUNTY SHERIFF DEPT,GA,sheriff_dept
JASPER POLICE DEPT,AL,local_police
JAY COUNTY SHERIFF OFFICE,IN,sheriff_dept
JEFFERSON CO SHERIFF (CENTER POINT),AL,sheriff_dept
JEFFERSON COUNTY SHERIFF (BESSEMER),AL,sheriff_dept
JEFFERSON COUNTY SHERIFF DEPT,WI,sheriff_dept
JEFFERSON COUNTY SHERIFF DEPT,AL,sheriff_dept
JEFFERSON COUNTY SHERIFF DEPT,FL,sheriff_dept
JEFFERSON COUNTY SHERIFF DEPT,TX,sheriff_dept
JEFFERSON COUNTY SHERIFF OFFICE,KY,sheriff_dept
JEFFERSON COUNTY SHERIFF'S DEPT,WV,sheriff_dept
JEFFERSONTOWN POLICE DEPT,KY,local_police
JEFFERSONVILLE POLICE DEPARTMENT,IN,local_police
JO DAVIESS COUNTY SHERIFF DEPT,IL,sheriff_dept
JOHNNY APPLESEED METRO PARK,OH,parks
JOHNSBURG POLICE DEPT,IL,local_police
JOHNSON CITY POLICE DEPT,TX,local_police
JOHNSON CITY POLICE DEPT,TN,local_police
JOHNSON COUNTY CONSTABLE PCT 4,TX,local_police
JOHNSON COUNTY SHERIFF DEPT,TX,sheriff_dept
JOHNSTON POLICE DEPT,RI,local_police
JOHNSTOWN POLICE DEPT,CO,local_police
JOLIET POLICE DEPT,IL,local_police
JONES COUNTY SHERIFF DEPT,NC,sheriff_dept
JONES COUNTY SHERIFF DEPT,GA,sheriff_dept
JONESBORO POLICE DEPARTMENT,GA,local_police
JONESBOROUGH POLICE DEPT,TN,local_police
JUNCOS POLICE DEPT,PR,local_police
JUNCTION CITY POLICE DEPT,KY,local_police
JUNCTION CITY POLICE DEPT,KS,local_police
JUNCTION CITY POLICE DEPT,OR,local_police
JUNEAU COUNTY SHERIFF DEPT,WI,sheriff_dept
KANAWHA COUNTY PARKS POLICE,WV,parks
KANE COUNTY SHERIFF'S OFFICE,IL,sheriff_dept
KANKAKEE COUNTY SHERIFF DEPT,IL,sheriff_dept
KARNAK POLICE DEPT,IL,local_police
KEANSBURG POLICE DEPT,NJ,local_police
KENDALL COUNTY SHERIFF DEPT,IL,sheriff_dept
KENNEBEC COUNTY SHERIFF DEPT,ME,sheriff_dept
KENOSHA COUNTY SHERIFF DEPT,WI,sheriff_dept
KENT POLICE DEPT,WA,local_police
KENTON COUNTY  DETENTION CENTER,KY,prison
KENTON COUNTY SHERIFF'S OFFICE,KY,sheriff_dept
KERENS POLICE DEPARTMENT,TX,local_police
KERN COUNTY SHERIFF DEPT,CA,sheriff_dept
KERN HIGH SCHOOL DIST POLICE,CA,school_police
KERSEY POLICE DEPT,CO,local_police
KERSHAW COUNTY SHERIFF'S OFFICE,SC,sheriff_dept
KICKAPOO TRIBAL POLICE DEPT,KS,local_police
KIMBALL COUNTY SHERIFF DEPT,NE,sheriff_dept
KINCAID POLICE DEPT,IL,local_police
KING COUNTY SHERIFF'S OFFICE,WA,sheriff_dept
KINGMAN POLICE DEPT,AZ,local_police
KINGSTON POLICE DEPT,NH,local_police
KINGSTON POLICE DEPT,TN,local_police
KIOWA COUNTY SHERIFF'S OFFICE,CO,sheriff_dept
KIRKLIN POLICE DEPT,IN,local_police
KIT CARSON COUNTY SHERIFF,CO,sheriff_dept
KITTITAS COUNTY SHERIFF DEPT,WA,sheriff_dept
KITTY HAWK POLICE DEPT,NC,local_police
KLAMATH COUNTY SHERIFF'S OFFICE,OR,sheriff_dept
KLAMATH FALLS POLICE DEPT,OR,local_police
KNOX COUNTY SHERIFF DEPT,IL,sheriff_dept
KNOX COUNTY SHERIFF DEPT.,TN,sheriff_dept
KNOX CTY SHERIFF DEPT,OH,sheriff_dept
KNOX POLICE DEPT,IN,local_police
KNOXVILLE POLICE DEPT,TN,local_police
KOSCIUSKO COUNTY SHERIFF OFFICE,IN,sheriff_dept
KOUNTZE POLICE DEPT,TX,local_police
KY STATE POLICE,KY,state_police
KYLE POLICE DEPT,TX,local_police
LA JOYA ISD POLICE DEPT,TX,school_police
LA PLATA COUNTY SHERIFF DEPT,CO,sheriff_dept
LA PLATA POLICE DEPT,MD,local_police
LA PORTE POLICE DEPT,TX,local_police
LAC DU FLAMBEAU POLICE DEPT,WI,local_police
LAFAYETTE PARISH SHERIFF DEPT,LA,sheriff_dept
LAFAYETTE POLICE DEPT,CO,local_police
LAGRANGE COUNTY SHERIFF DEPT,IN,sheriff_dept
LAGRANGE POLICE DEPT,KY,local_police
LAJAS POLICE DEPT,PR,local_police
LAKE COUNTY SHERIFF DEPT,FL,sheriff_dept
LAKE STATION POLICE DEPT,IN,local_police
LAKE VILLA POLICE DEPT,IL,local_police
LAKEHURST POLICE DEPT,NJ,local_police
LAKELAND POLICE DEPT,FL,local_police
LAKEVILLE POLICE DEPARTMENT,IN,local_police
LAKEWOOD POLICE DEPT,WA,local_police
LAKEWOOD POLICE DEPT,NJ,local_police
LAKEWOOD POLICE DEPT,CO,local_police
LAMAR POLICE DEPT,CO,local_police
LANARK POLICE DEPT,IL,local_police
LANCASTER COUNTY SHERIFF DEPT,SC,sheriff_dept
LANCASTER POLICE DEPT,OH,local_police
LANCASTER POLICE DEPT,NH,local_police
LANDER POLICE DEPT,WY,local_police
LANE CTY SHERIFF DEPT,OR,sheriff_dept
LARES POLICE DEPT,PR,local_police
LARGO POLICE DEPT,FL,local_police
LARIMER COUNTY SHERIFF DEPT,CO,sheriff_dept
LARNED STATE HOSPITAL SAFETY DEPT,KS,hospital_police
LAS PIEDRAS MUNICIPAL POLICE,PR,local_police
LAS VEGAS METRO POLICE DEPT NORTH,NV,local_police
LAS VEGAS POLICE DEPT,NM,local_police
LASALLE COUNTY SHERIFF DEPT,IL,sheriff_dept
LASSEN COUNTY SHERIFF DEPT,CA,sheriff_dept
LATTA POLICE DEPT,SC,local_police
LAUREL COUNTY SHERIFF'S OFFICE,KY,sheriff_dept
LAUREL POLICE DEPT,DE,local_police
LAURENS POLICE DEPT,SC,local_police
LAVERGNE POLICE DEPT,TN,local_police
LAVONIA POLICE DEPT,GA,local_police
LAW ENF FIRE MARSHALL ACADEMY,VA,fire
LAWRENCE COUNTY SHERIFF DEPT,AR,sheriff_dept
LAWTON POLICE DEPT,OK,local_police
LEA COUNTY SHERIFF DEPT,NM,sheriff_dept
LEANDER POLICE DEPARTMENT,TX,local_police
LEBANON PUBLIC SAFETY,TN,public_safety
LEE COUNTY MARSHAL'S OFFICE,GA,marshal
LEE COUNTY SHERIFF DEPT,GA,sheriff_dept
LEEDS POLICE DEPT,AL,local_police
LEESBURG POLICE DEPT,AL,local_police
LEESBURG POLICE DEPT,GA,local_police
LEESVILLE POLICE DEPT,LA,local_police
LEHIGH COUNTY DTF,PA,narcotics
LESLIE POLICE DEPT,GA,local_police
LETCHER COUNTY POLICE DEPT,KY,local_police
LEWES POLICE DEPT,DE,local_police
LEWIS COUNTY SHERIFF DEPT,WA,sheriff_dept
LEWIS COUNTY SHERIFF DEPT,TN,sheriff_dept
LEWISBORO POLICE DEPT,NY,local_police
LEWISBURG POLICE DEPT,TN,local_police
LEWISVILLE POLICE DEPT,TX,local_police
LEXINGTON COUNTY SHERIFF DEPT,SC,sheriff_dept
LEXINGTON POLICE DEPT,SC,local_police
LEYDEN POLICE DEPT,MA,local_police
LIBERTY POLICE DEPT,KY,local_police
LICKING CTY SHERIFF DEPT,OH,sheriff_dept
LIMA POLICE DEPT,OH,local_police
LIMESTONE POLICE DEPT,ME,local_police
LINCOLN COUNTY SHERIFF DEPT,KY,sheriff_dept
LINCOLN COUNTY SHERIFF DEPT,WA,sheriff_dept
LINCOLN COUNTY SHERIFF DEPT,GA,sheriff_dept
LINCOLN COUNTY SHERIFF DEPT,AR,sheriff_dept
LINCOLN COUNTY SHERIFF'S OFFICE,WY,sheriff_dept
LINCOLN HEIGHTS POLICE DEPT,OH,local_police
LINDEN POLICE DEPT,TX,local_police
LINDEN-KILDARE CISD POLICE DEPT,TX,local_police
LINN COUNTY SHERIFF DEPT,IA,sheriff_dept
LITTLE FERRY POLICE DEPT,NJ,local_police
LITTLE ROCK POLICE DEPT,AR,local_police
LITTLE SILVER POLICE DEPT,NJ,local_police
LIVERMORE POLICE DEPT.,CA,local_police
LIVINGSTON PARISH HOMELAND SECURITY,LA,dhs
LIVINGSTON PARISH SHERIFF DEPT,LA,sheriff_dept
LIVINGSTON POLICE DEPT,TN,local_police
LLOYD HARBOR POLICE DEPT,NY,local_police
LOAMI POLICE DEPT,IL,local_police
LODI POLICE DEPT,CA,local_police
LONG BEACH FIRE DEPARTMENT,CA,fire
LONG BEACH POLICE DEPT,NY,local_police
LONG BRANCH POLICE DEPT,NJ,local_police
LONG COUNTY SHERIFF DEPT,GA,sheriff_dept
LONGMONT POLICE DEPT,CO,local_police
LONGVIEW POLICE DEPT,TX,local_police
LONOKE COUNTY SHERIFF DEPT,AR,sheriff_dept
LORAIN CTY  METRO PARKS,OH,parks
LORAIN CTY SHERIFF DEPT,OH,sheriff_dept
LOS ANGELES COUNTY SHERIFF DEPT,CA,sheriff_dept
LOS ANGELES DA,CA,district_attorney
LOS ANGELES POLICE DEPARTMENT,CA,local_police
LOS ANGELES WORLD AIRPORT POLICE,CA,airport_police
LOS FRESNOS POLICE DEPT,TX,local_police
LOS LUNAS POLICE DEPT,NM,local_police
LOSTANT POLICE DEPT,IL,local_police
LOUDON COUNTY SHERIFF DEPT,TN,sheriff_dept
LOUDOUN COUNTY SHERIFF DEPT,VA,sheriff_dept
LOUISVILLE METRO POLICE DEPT,KY,local_police
LOWER ALLEN TOWNSHIP POLICE DEPT,PA,local_police
LOWER MILFORD TOWNSHIP POLICE,PA,local_police
LOWER WINDSOR TOWNSHIP POLICE DEPT,PA,local_police
LOWNDES COUNTY SHERIFF DEPT,GA,sheriff_dept
LUDLOW POLICE DEPT,KY,local_police
LUMPKIN COUNTY SHERIFF DEPT,GA,sheriff_dept
LUNENBURG COUNTY SHERIFF DEPT,VA,sheriff_dept
LYNDON STATION POLICE DEPT,WI,local_police
LYNNWOOD POLICE DEPT,WA,local_police
LYON COUNTY SHERIFF DEPT,NV,sheriff_dept
MA STATE POLICE DEPT,MA,state_police
MADAWASKA POLICE DEPT,ME,local_police
MADERA COUNTY SHERIFF DEPT,CA,sheriff_dept
MADISON COUNTY SHERIFF DEPT,FL,sheriff_dept
MADISON COUNTY SHERIFF DEPT,GA,sheriff_dept
MADISON COUNTY SHERIFF DEPT,AR,sheriff_dept
MADISON POLICE DEPT,WI,local_police
MADISON TOWNSHIP FIRE DEPT,OH,fire
MADISONVILLE POLICE DEPT,TN,local_police
MADISONVILLE POLICE DEPT,KY,local_police
MAGGIE VALLEY POLICE DEPT,NC,local_police
MAHONING CTY SHERIFF DEPT,OH,sheriff_dept
MAHONING VALLEY CRISIS RESPONSE,OH,
MAMMOTH LAKES POLICE DEPT,CA,local_police
MANALAPAN TOWNSHIP POLICE DEPT,NJ,local_police
MANCHESTER POLICE DEPT,GA,local_police
MANCHESTER POLICE DEPT,VT,local_police
MANCHESTER POLICE DEPT,NJ,local_police
MANCHESTER POLICE DEPT,TN,local_police
MANNING POLICE DEPT,SC,local_police
MANTECA POLICE DEPT,CA,local_police
MARANA POLICE DEPT,AZ,local_police
MARIETTA POLICE DEPT,GA,local_police
MARION COUNTY SHERIFF DEPT,FL,sheriff_dept
MARION COUNTY SHERIFF OFFICE,SC,sheriff_dept
MARION POLICE DEPT,IL,local_police
MARLBORO TOWNSHIP POLICE DEPT,NJ,local_police
MARLOW POLICE DEPT,OK,local_police
MARSEILLES POLICE DEPT,IL,local_police
MARSHALL COUNTY SHERIFF DEPT,KY,sheriff_dept
MARSHALLVILLE POLICE DEPT,OH,marshal
MARSHALS JUDICIARY OF GUAM,GU,marshal
MARSHFIELD POLICE DEPT,MA,local_police
MARSHFIELD POLICE DEPT,WI,local_police
MARTIN COUNTY SHERIFF'S OFFICE,KY,sheriff_dept
MARTINEZ POLICE DEPT,CA,local_police
MARYSVILLE POLICE DEPT,CA,local_police
