agency_name,state,agency_type
BRADFORD POLICE DEPT,IL,local_police
BRADLEY POLICE DEPT,IL,local_police
BRANDENBURG POLICE DEPT,KY,local_police
BRAZOS COUNTY SHERIFF'S OFFICE,TX,sheriff_dept
BREESE POLICE DEPT,IL,local_police
BREMEN POLICE DEPT,GA,local_police
BRENTWOOD POLICE DEPT,NH,local_police
BREVARD COUNTY SHERIFF DEPT,FL,sheriff_dept
BRICK TOWNSHIP POLICE DEPT,NJ,local_police
BRIDGEVILLE POLICE DEPARTMENT,DE,local_police
BRIGHTON POLICE DEPT,CO,local_police
BRIGHTON POLICE DEPT,AL,local_police
BRILLIANT POLICE DEPT,AL,local_police
BRISTOL COUNTY SHERIFF DEPT,MA,sheriff_dept
BROADVIEW POLICE DEPT,IL,local_police
BROOKE COUNTY SHERIFF'S DEPT,WV,sheriff_dept
BROOKFIELD POLICE DEPT,CT,local_police
BROOKLYN POLICE DEPT,IL,local_police
BROOKPORT POLICE DEPT,IL,local_police
BROOKS COUNTY SHERIFFS OFFICE,GA,sheriff_dept
BROWN COUNTY SHERIFF DEPT,IN,sheriff_dept
BROWN COUNTY SHERIFF DEPT,WI,sheriff_dept
BROWNSVILLE POLICE DEPT,TX,local_police
BRUNSWICK COUNTY SHERIFF OFFICE,NC,sheriff_dept
BRUNSWICK POLICE DEPT,OH,local_police
BRUNSWICK POLICE DEPT,ME,local_police
BRYAN CTY SHERIFF DEPT,OK,sheriff_dept
BRYANT POLICE DEPT,AR,local_police
BUCHTEL POLICE DEPT,OH,local_police
BUCKEYE POLICE DEPT,AZ,local_police
BUCKLAND POLICE DEPT,OH,local_police
BUENA VISTA COUNTY SHERIFF OFFICE,IA,sheriff_dept
BULLITT COUNTY SHERIFF DEPT,KY,sheriff_dept
BURDEN POLICE DEPT,KS,local_police
BURIEN POLICE DEPARTMENT,WA,local_police
BUTLER CTY SHERIFF DEPT,OH,sheriff_dept
BUTLER POLICE DEPT,AL,local_police
BUTTE COUNTY SHERIFF DEPT,CA,sheriff_dept
CA CORRECTIONAL SAFETY,CA,prison
CA DEPT OF CORRECTIONS & REHAB,CA,prison
CA DEPT OF FISH AND GAME HQ,CA,fish_and_wildlife
CABELL COUNTY SHERIFF'S DEPT,WV,sheriff_dept
CABO ROJO POLICE DEPT,PR,local_police
CACHE POLICE DEPT,OK,local_police
CALAIS POLICE DEPT,ME,local_police
CALAVERAS COUNTY SHERIFF DEPT,CA,sheriff_dept
